name,url,image,rating,sold_quantity,price_current,price_original,discount
"Blood Orange Peeling Gel 50g – Eksfoliasi 1 Menit, Angkat Komedo & Sel Kulit Mati, Kulit Lembut & Terhidrasi",https://shop-id.tokopedia.com/pdp/1733450737631725291,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/b14dcaa2c5224f17a788df650bf6110f~tplv-aphluv4xwc-crop-webp:299:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,954,24900,69000,64
Kuku Palsu Dapat Dipakai Semi Buatan Tangan Tangga Super Pendek Mata Kucing Ukuran Penuh XS/S/M 10PCS/SET Nail Art Polish 001 017 040,https://shop-id.tokopedia.com/pdp/kuku-palsu-dapat-dipakai-meijing-10pcs-set-semi-tangan-super-pendek-warna-vibrant/1730636006963053879,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/457081332c5644e0a25e1d34854d1902~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,2268000,13900,17600,21
SWEETY BRONZE Dry X-Pert JUMBO S56 M48 L42 XL38 XXL34,https://shop-id.tokopedia.com/pdp/popok-sweety-bronze-kering-semalaman-daya-serap-7x-ekstra-lembut/1729708395784997142,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/58ea4ee406a14f059377216004ba80d8~tplv-aphluv4xwc-crop-webp:240:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,124000,59555,100000,40
Sisir Rambut Anti Kusut Dan Rontok Sisir Rambut Keriting Basah Sisir Pijat Kepala Sisir Wig Sisir Berongga,https://shop-id.tokopedia.com/pdp/sisir-rambut-anti-kusut-cocok-untuk-rambut-basah-dan-kering/1731344729046288220,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/e0d98a3dc3a1414db6e0ee1eb4f9bc7e~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,61000,14900,14900,0
SABUN AFTERMYSKIN / SABUN AFTERSKIN ALPHA ARBUTIN BRIGHTENING SOAP,https://shop-id.tokopedia.com/pdp/sabun-afterskin-alpha-arbutin-mencerahkan-menghilangkan-luka/1731814858306258021,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/359f37efea3047588ca91197ce203fd4~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,37000,40000,40000,0
PARFUM VIRAL PREMIUMPLUS 35ml MR CRSH HRNY SIDE EFFECT STAYCATION EAU DE PARFUME TAHAN 8 JAM,https://shop-id.tokopedia.com/pdp/parfum-viral-premiumplus-35ml-aroma-segar-tahan-8-jam-anti-bakteri/1729859610559810431,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/4ffca6e77e8341d8b85647a6001eafec~tplv-aphluv4xwc-crop-webp:300:299.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.6,37000,10000,30000,67
[BBD] Nuface Flawless+ Serum Cushion + Nu Flawless Loose Powder / Nuface Nu Matte Lip Cream + Calendula Moisturizer 7gr - Cushion Foundation Concealer dengan Serum Formula SPF 30 PA+++ Extra Chamomile yang Mencerahkan Cegah Kusam Melembabkan Seharian,https://shop-id.tokopedia.com/pdp/nuface-flawless-serum-cushion-01-light-beige-loose-powder-gratis-lip-cream-random-moisturizer-calend/1730352608612025901,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/bb09c2f49dc64927bf0e8b2e7463f815~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,3674000,35000,55000,36
READY STOCK Gloow&be Glass Skin Sunscreen SPF40 PA+++ Hybrid Sunscreen All Skin Type,https://shop-id.tokopedia.com/pdp/1732973826932574040,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/4d03e7cd739f42069644e2f94953b538~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,16000,42000,42000,0
"(BELI 1 GRATIS 2) Endzi Beauty Batu tawas, Deodoran alami, Anti bau ketiak, penghilang bau badan, penghilang bau ketek",https://shop-id.tokopedia.com/pdp/endzi-beauty-batu-tawas-deodoran-anti-bau-badan-alami/1729885835601808222,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0e631536b45d4d8bb89d131993aff951~tplv-o3syd03w52-crop-webp:224:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,215000,5499,10000,45
[FYC] Morris Frosted Edition X Glam Edition X Tropical Romance [BEST SELLER],https://shop-id.tokopedia.com/pdp/morris-edp-frosted-beli-3-gratis-hadiah-aroma-floral-menawan/1730592018270619255,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/3e2dc662ae6f415bbb70340bdfc19eb8~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,117000,99000,201112,51
"spesial sale  Peeling Solution Dr.KKot  AHA BHA PHA LHA – Serum Eksfolias 20ML, Cerahkan, Menghaluskan Kulit, Menutrisi, Aman untuk Kulit Sensitif",https://shop-id.tokopedia.com/pdp/serum-eksfoliasi-wajah-20ml-dengan-niacinamide-aha-bha-pha/1732709492543227560,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/54beddf2122f414fb97300ffc4431240~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,238000,46800,316000,85
Nuface Nu Glow Brighten & Supple Skin Facial Wash Cream 80gr,https://shop-id.tokopedia.com/pdp/nuface-nu-glow-facial-wash-cream-80-mencerahkan-melembabkan-aman-untuk-semua/1731167605063910957,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/3/28/24e72b11-60f1-4512-8064-8410d657bb39.png~tplv-aphluv4xwc-crop-webp:299:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,63000,24900,30000,17
TIMEPHORIA - STELLAR DUST LIP STAIN 5ML | Make Up Tahan Lama,https://shop-id.tokopedia.com/pdp/stellar-dust-lip-stain-5ml-timephoria-pigmented-matte-long-lasting-lip-tint/1730789506263844141,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/85b8c27042cf4761a9afa201c1919df5~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,2541000,109000,239000,54
[Hadiah Gratis] [1pcs Random] PERFECT WHITE AHA Body Serum 10ML / Snow White 5gr,https://shop-id.tokopedia.com/pdp/sachet-snow-white-booster-perfect-white-mencerahkan-kulit/1729997666101463193,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/a7da4e95414145a5ae0c9f1d13854c5c~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,174000,999999,999999,0
IMPLORA Eyebrow Pencil 2.5 Soft Brow Eye Pensil Alis Serut Rautan,https://shop-id.tokopedia.com/pdp/pensil-alis-lembut-implora-berbagai-warna-bpom-approved/1731569483090068531,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/11/12/33c5863c-dec2-4d6a-baf9-3e7340ea3cc1.png~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,35000,6899,6899,0
Roll Rambut FREE JEPITAN 1PC Ala Korean Hair Style Keriting Tahan Lama Hair Roller Rambut 3mm 5.5mm 6.4 mm Besar Gulungan Poni 7.4mm Jumbo Pengeriting Hair Curler Pastel Premi,https://shop-id.tokopedia.com/pdp/roll-rambut-keriting-tahan-lama-free-jepitan-1pc-poni-jumbo/1730649946029130805,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/3dd23f9898cb4dbc9049f85421bed7be~tplv-o3syd03w52-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,90000,4999,19900,75
[Exclusive] Facetology Panthenol Barrier Boost Moisturizer Series 5% & 10% Pelembap Wajah Berminyak Kusam Jerawat Aman Ceramide Triple Care Function,https://shop-id.tokopedia.com/pdp/moisturizer-triple-care-5-panthenol-untuk-kulit-berjerawat/1732603227741914925,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/9b5cb40353bc4f439d874d21dc764953~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,1008000,39898,109780,64
Medikon Verile Acne Gel 10gr,https://shop-id.tokopedia.com/pdp/verile-acne-gel-10gr-atasi-jerawat-dengan-asam-salisilat-nyaman-dan-menyejukkan/1729633311675811714,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/6ab13a73dca34854b4943582f3fe090b~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,225000,21280,32000,34
[My Daily Glow Up Set] Scora Bright Me Up Sunscreen 40 Gr + Scora Sheer Glow Tone Up Cream 30 ml + SCORA Moisturizer Gel + SCORA Gentle Low pH Cleanser 100 ML + SCORA Toner 80 ML,https://shop-id.tokopedia.com/pdp/1733109757141353998,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/7fab2da3cbc24e77b5fc2eab41b6d2e1~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,38000,146499,275000,47
WARDAH Crystal Secret Bright-Peptide 5% Niacinamide Hyperpigmentation Expert Night Moisturizer (crystal secret night cream untuk kulit cerah bercahaya) - Skincare,https://shop-id.tokopedia.com/pdp/krim-malam-wardah-crystal-secret-atasi-hiperpigmentasi-cerahkan-kulit/1729465353679768471,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/7839fb3e57544796be4ef1753508963c~tplv-o3syd03w52-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,683000,58000,75400,23
Implora (️BPOM) Pensil Alis 2.5 gram ( Eyebrow Pencil ) Waterproof,https://shop-id.tokopedia.com/pdp/pensil-alis-waterproof-bpom-warna-jernih-aman-sehari-hari/1732141546158327128,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/2cba47faf88542baa91b66835e0828cf~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,942,5237,8000,35
"4 PCS Pasta Gigi CLOSE UP 65+10gr Penyegar - Memutihkan, Menyembuhkan  Mulut pastagigimurah promo",https://shop-id.tokopedia.com/pdp/close-up-pasta-gigi-4-pcs-65gr-memutihkan-menyegarkan-nafas/1729781334632859018,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/3ea1e52bde4447deb0614ca58f218bfb~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,110000,32400,32400,0
"Signature by Kamila Paket Luminous Brightening 3 in 1 (Day Cream, Night Cream, Serum Brightening) Acid Ceramide Mencerahkan Wajah",https://shop-id.tokopedia.com/pdp/paket-luminous-brightening-3-in-1-signature-by-kamila-cerahkan-kulit-hidrasi-maksimal-serum-dan-krim/1729784991093130333,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/0ded1c3cc29249658721c0afaed137eb~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,32000,514511,799999,36
[LANGSUNG TEMPEL] Milan Story N01 Natural Bulu Mata Palsu Serat Kapas Premium Mudah Digunakan Untuk Pemula Eye Make Up Reusable,https://shop-id.tokopedia.com/pdp/bulu-mata-palsu-premium-n01-milan-story-nyaman-dan-mudah-dipasang/1729614860319753223,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/493c94968b0c4625b4d6651e977a6390~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,482000,28500,100000,72
[Super Brand Day] MAKE OVER Trivia Eye Shadow 6 g - EyeShadow Palette Kosmetik Wanita Compact SBD Ramadan,https://shop-id.tokopedia.com/pdp/make-over-trivia-eye-shadow-6-g-palet-mata-3-warna-mudah-dibaurkan-travel-friendly/1729383615364564736,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/f98d9bb51fde4b4b844806943309b904~tplv-o3syd03w52-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,267000,107000,129000,17
SKIN1004 Madagascar Centella Tone Brightening Tone-Up Sunscreen SPF50 PA++++ Mencerahkan Facial Matahari Proteksi,https://shop-id.tokopedia.com/pdp/skin1004-sunscreen-spf50-pa-mencerahkan-dan-melembapkan/1729591117023382308,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/4839a218676b44e1b5d68028304fb1f9~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,713000,125570,360000,65
[SPECIAL MIMILUMINA] - Paket Whitening Series,https://shop-id.tokopedia.com/pdp/lumiwhite-paket-whitening-series-cerahkan-kulit-hidrat/1730789746184193474,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/254d5964d7364f059d6ccb11c6b7d317~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,17000,123000,280000,56
[BUY 2 GET  Ponds Biome 2gr + Gluta Smoothing 20ml] Vaseline UV Extra Brightening 400ml Twinpack,https://shop-id.tokopedia.com/pdp/vaseline-uv-extra-brightening-400ml-twinpack-gluta-vitamin-soft-glow-100ml/1731068340778993160,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/9386c992971c4194b23c1759ed4d1cdc~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.7,1011000,107200,117200,9
[NEW SHADES] SOMETHINC [2 PCS] Ceraplump Tinted Lip Balm SPF25 PA++++ + Makeup (Clay Bronzer / Clay Highlighter),https://shop-id.tokopedia.com/pdp/ceraplump-tinted-lip-balm-somethinc-spf25-bibir-glowing-sehat-ceramide-dan-vitamin-c/1729775244041291205,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/2cbf1de93a0d4de2941b7b4cb5492a11~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,388000,71200,99000,28
【Tasya Farasya Approved】SKINTIFIC 3X ACID INTENSIVE ACNE SPOT 11g,https://shop-id.tokopedia.com/pdp/skintific-3x-acid-intensive-acne-spot-11g-merawat-jerawat-menyamarkan-noda-mengurangi-kemerahan/1731071412324566606,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/a2035e043791458fb7b2f936a9755d51~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,254000,99000,199000,50
HOKKY-SHOP FASHION HAIR DRYER PROFESSIONAL  Ion Negatif Pengering rambut Kecepatan Tinggi 600W Household Safe Quick Multifunction International Warranty Manufacturer Warrenty Hairdryer,https://shop-id.tokopedia.com/pdp/pengering-rambut-hokky-shop-800w-ion-negatif-cepat-multifungsi/1729694741460323020,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/dc8cefe0fefb4bda8c77540aaf41cb10~tplv-o3syd03w52-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,36000,51150,110200,54
Glamers Beauty Sarung Tangan Mandi Scrubber Batching Exfoliate Bath Scrub Busa Kain Pink Sikat Pungung Putih Tempat Shower Glove Soft Hide Inside Texture Elastic,https://shop-id.tokopedia.com/pdp/sarung-tangan-mandi-pink-glamers-beauty-eksfoliasi-lembut-berbusa-kaya-nyaman-untuk-kulit/1729659492368354234,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/a33c5a264e854fc78230939f94cc62c1~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.6,191000,11200,45900,76
Lem Extention Bulu Mata 5ml lem bulu mata palsu Tanam Tahan Lama Tidak Perih eyelash extension Glue lem tanam bulu mata Fast super glue Bulumata,https://shop-id.tokopedia.com/pdp/lem-ekstensi-bulu-mata-meera-5ml-tahan-lama-cepat-kering-aman/1730654166255437157,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/b2ac1c74b97b47099f2e5681ea06460f~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.7,33000,15900,52900,70
Maryame Beauty Glow Up Cream Niacinamide 5% Mencerahkan Wajah,https://shop-id.tokopedia.com/pdp/maryame-glow-up-cream-niacinamide-5-mencerahkan-kulit-melembabkan-dan-melindungi-dari-sinar-uv/1729438564380346445,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/fd8f66ef91da4a20a597c67874cf5dea~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,1220000,107999,115000,6
[2 BAG] POKKY JUMBOPACK TWINPACK M28+2/L26+2/XL24/XXL22+2 | Popok Celana Bayi Berkualitas,https://shop-id.tokopedia.com/pdp/pokok-celana-bayi-pokky-jumbopack-2-bag-m28-2-l26-2-xl24-xxl22-2-berkualitas-untuk-bayi-anda/1732855666862031904,https://p19-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/91381b3fd496484093ee4d2a36ddf407~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,51000,88993,110000,19
(HALAL) Nutrishe Intensive Bright & Glow Serum,https://shop-id.tokopedia.com/pdp/nutrishe-serum-mencerahkan-alpha-arbutin-mengurangi-dark-spot-20ml/1729382313148711998,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/db5c8fc6f10a428a8fff86a2f5bff72b~tplv-aphluv4xwc-crop-webp:300:299.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,386000,105300,117000,10
MAGICAL FAIRY_ Pinset Serbaguna Penjepit Bulu Mata Eyelash Extension Serbaguna,https://shop-id.tokopedia.com/pdp/pinset-stainless-steel-anti-karat-untuk-eyelash-extension/1732264589400311588,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/7548ed0dfc1f495882859fd54a023457~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.7,23000,3808,6800,44
"Sonik Scents SKIN NICE 7x Ceramide Membantu Moisturizer Gel 50g/30g Cream yang Membantu melembapkan Kulit Kering , berminyak & Sensitif",https://shop-id.tokopedia.com/pdp/skin-nice-7x-ceramide-moisturizer-gel-krim-pencerah-kulit-anti-aging-menjaga-kelembapan-kulit/1729860365148784731,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/de8577378d054275be5871a82ea86499~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,6763000,13499,25000,46
Paket 3in1 Viva Cosmetics Pembersih Wajah 100ml Face Tonic & Milk Cleanser Free Kapas - BPOM Facial Muka Lemon Greentea Perawatan Membersihkan,https://shop-id.tokopedia.com/pdp/paket-3in1-pembersih-wajah-viva-milk-cleanser-face-tonic-100ml/1729633512731739234,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/a39fd45673d6495d9f456469f41d3e1e~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,255000,15037,16500,9
